text,id
HiddenWasp installs reboot persistence by adding itself to directory, T1156 
Linux Rabbit maintains persistence on an infected machine through rc al and  hrc files., T1156 
APT28 has used CVE-2015-1701 to access the SYSTEM token and copy it into the current process as part of privilege escalation., T1134 
Azorult can call WTSQueryUserToken and CreateProcessAsUser to start a new process with local system privileges., T1134 
Bankshot grabs a user token using WTSQueryUserToken and then creates a process by impersonating a logged-on user., T1134 
Cobalt Strike can steal access tokens from exiting processes and make tokens from known credentials., T1134 
Duqu examines running system processes for tokens that have specific system privileges., T1134 
"If it finds one, it will copy the token and store it for later use.", T1134 
Eventually it will start new processes with the stored token attached., T1134 
It can also steal tokens to acquire administrative privileges., T1134 
Empire can use Invoke-RunAs to make tokens as well as PowerSploit's Invoke-TokenManipulation to manipulate access tokens., T1134 
FinFisher uses token manipulation with NtFilterToken as part of UAC bypass., T1134 
Hydraq creates a backdoor through which remote attackers can adjust token privileges., T1134 
Lazarus Group keylogger KiloAlfa obtains user tokens from interactive sessions to execute itself with API call CreateProcessAsUserA under that user's context., T1134 
"PoshC2 contains a number of modules, such as Invoke-RunAs and Invoke-TokenManipulation, for manipulating tokens.", T1134 
PowerSploit's Invoke-TokenManipulation Exfiltration module can be used to locate and impersonate user logon tokens., T1134 
Pupy can obtain a list of SIDs and provide the option for selecting process tokens to impersonate., T1134 
SslMM contains a feature to manipulate process privileges and tokens., T1134 
Turla RPC backdoors can impersonate or steal process tokens before executing commands., T1134 
"ZxShell has a command called RunAs, which creates a new process as another user or process context.", T1134 
"APT29 used sticky-keys to obtain unauthenticated, privileged console access.", T1015 
APT3 replaces the Sticky Keys binary directory, T1015 
APT41 leveraged sticky keys to establish persistence., T1015 
Axiom actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence., T1015 
Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions., T1015 
"Empire can leverage WMI debugging to remotely replace binaries like sethc , Utilman , and Magnify  with cmd .", T1015 
LockerGoga has been observed changing account passwords and logging off current users., T1531 
admin@338 actors used the following commands following exploitation of a machine with LOWBALL malware to enumerate user account  net user >> directory, T1087 
Agent Tesla collects account information from the victim?????s machine., T1087 
"APT1 used the commands net localgroup,net user, and net group to find accounts on the system.", T1087 
"APT3 has used a tool that can obtain info about local and global group users, power users, and administrators.", T1087 
"APT32 enumerated administrative users and DC servers using the commands net localgroup administrators and net group ""Domain Controllers"" directory", T1087 
BRONZE BUTLER has used net user directory to identify account information., T1087 
Carbon runs the net group command to list accounts on the system., T1087 
Comnie uses the net user command., T1087 
Dragonfly 2.0 used batch scripts to enumerate users in the victim environment., T1087 
dsquery can be used to gather information on user accounts within a domain., T1087 
The discovery modules used with Duqu can collect information on accounts and permissions., T1087 
Elise executes net user after initial communication is made to the remote server., T1087 
Empire can acquire local and domain user account information., T1087 
"Epic gathers a list of all user accounts, privilege classes, and time of last logon.", T1087 
FIN6 has used Metasploit?????s PsExec NTDSGRAB module to obtain a copy of the victim's Active Directory database., T1087 
GeminiDuke collects information on local user accounts from the victim., T1087 
InvisiMole has a command to list account information on the victim?????s machine., T1087 
Kazuar gathers information on local groups and members on the victim?????s machine., T1087 
"Ke3chang performs account discovery using commands such as net localgroup administrators and net group ""REDACTED"" directory on specific permissions groups.", T1087 
Kwampirs collects a list of accounts with the command net users., T1087 
MailSniper can be used to obtain account names from Exchange and Office 365 using the Get-GlobalAddressList cmdlet., T1087 
menuPass has used the Microsoft administration tool csvde  to export Active Directory data., T1087 
Mis-Type may create a file containing the results of the command cmd  directory net user {Username}., T1087 
MURKYTOP has the capability to retrieve information about users on remote hosts., T1087 
Commands under net user can be used in Net to gather information about and manipulate user accounts., T1087 
"OilRig has run net user, net user directory net group ?????domain admins?????directory and net group ?????Exchange Trusted Subsystem?????directory to get account listings on a victim.", T1087 
OSInfo enumerates local and domain users, T1087 
Poseidon Group searches for administrator accounts on both the local victim machine and the network., T1087 
PoshC2 can enumerate local and domain user account information., T1087 
PowerSploit's Get-ProcessTokenGroup Privesc-PowerUp module can enumerate all SIDs associated with its current token., T1087 
POWERSTATS can retrieve usernames from compromised hosts., T1087 
POWRUNER may collect user account information by running net user directory or a series of other commands on a victim., T1087 
PUNCHBUGGY can gather user names., T1087 
"Pupy uses PowerView and Pywerview to perform discovery commands such as net user, net group, net local group, etc.", T1087 
RATANKBA uses the net user command., T1087 
Remsec can obtain a list of users., T1087 
S-Type runs the command net user on a victim., T1087 
S-Type also runs tests to determine the privilege level of the compromised user., T1087 
SHOTPUT has a command to retrieve information about connected users., T1087 
"Sykipot may use net group ""domain admins"" directory to display accounts in the ""domain admins"" permissions group and net localgroup ""administrators"" to list local system administrator group membership.", T1087 
Threat Group-3390 has used net user to conduct internal discovery of systems., T1087 
TrickBot collects the users of the system., T1087 
APT3 has been known to add created accounts to local admin groups to maintain elevated access., T1098 
Calisto adds permissions and remote logins to all users., T1098 
Dragonfly 2.0 added newly created accounts to the administrators group to maintain elevated access., T1098 
Lazarus Group malware WhiskeyDelta-Two contains a function that attempts to rename the administrator?????s account., T1098 
Magic Hound granted compromised email accounts read access to the email boxes of additional targeted accounts., T1098 
The group then was able to authenticate to the intended victim's OWA   portal and read hundreds of email communications for information on Middle East organizations., T1098 
The Mimikatz credential dumper has been extended to include Skeleton Key domain controller authentication bypass functionality., T1098 
The LSADUM :ChangeNTLM and LSADUM :SetNTLM modules can also manipulate the password hash of an account without knowing the clear text value., T1098 
Skeleton Key is used to patch an enterprise domain controller authentication process with a backdoor password., T1098 
It allows adversaries to bypass the standard authentication system to use a defined password for all accounts authenticating to that domain controller., T1098 
Honeybee's service-based DLL implant can execute a downloaded file with parameters specified using CreateProcessAsUser., T1182 
PUNCHBUGGY can establish using a AppCertDLLs Registry key., T1182 
"Some variants of Cherry Picker use AppInit_DLLs to achieve persistence by creating the following Registry ke      Windows ""AppInit_DLLs""=""pserver32 """, T1103 
"If a victim meets certain criteria, T9000 uses the AppInit_DLL functionality to achieve persistence by ensuring that every user mode process that is spawned will load its malicious DLL, ResN32 .", T1103 
It does this by creating the following Registry key        ????? directory, T1103 
Dok uses AppleScript to create a login item for persistence., T1155 
"APT28 has used several malicious applications that abused OAuth access tokens to gain access to target email accounts, including Gmail and Yahoo Mail.", T1527 
APT32 compromised McAfee ePO to move laterally by distributing malware as a software deployment task., T1017 
FIN7 has used application shim databases for persistence., T1138 
Catchamas obtains application windows titles and then determines which windows to perform Screen Capture on., T1010 
The discovery modules used with Duqu can collect information on open windows., T1010 
Kazuar gathers information about opened windows., T1010 
Lazarus Group malware IndiaIndia obtains and sends to its C2 server the title of the window for each running process., T1010 
The KilaAlfa keylogger also reports the title of the window in the foreground., T1010 
Machete saves the window names., T1010 
NetTraveler reports window names along with keylogger information to provide application context., T1010 
njRAT gathers information about opened windows during the initial infection., T1010 
PoisonIvy captures window titles., T1010 
PowerDuke has a command to get text of the current foreground window., T1010 
Remexi has a command to capture active windows on the machine and retrieve window titles., T1010 
SOUNDBITE is capable of enumerating application windows., T1010 
WINERACK can enumerate active windows., T1010 
APT37 has used an audio capturing utility known as SOUNDWAVE that captures microphone input., T1123 
Bandook has modules that are capable of capturing audio., T1123 
Cobian RAT has a feature to perform voice recording on the victim?????s machine., T1123 
DarkComet can listen in to victims' conversations through the system?????s microphone., T1123 
Derusbi is capable of performing audio captures., T1123 
DOGCALL can capture microphone data from the victim's machine., T1123 
EvilGrab has the capability to capture audio from a victim machine., T1123 
Flame can record audio using any existing hardware recording devices., T1123 
InvisiMole can record sound using input audio devices., T1123 
Janicab captured audio and sent it out to a C2 server., T1123 
